Client,Position,Skillset,InterviewType,Gender,StartPermission,Unscheduled,FollowUp,AlternativeContact,Resume,Venue,Letter,ExpectAttend,Attendence,MaritalStat
Standard Chartered Bank,Routine,CDD KYC,Walkin,Male,Yes,Yes,No,No,Yes,Yes,Yes,Uncertain,No,Single
Hospira,Niche,generic drugs – RA,Scheduled ,Female,Yes,Yes,Yes,No,Yes,Yes,Yes,Uncertain,No,Single
Standard Chartered Bank,Routine,Lending & Liability,Scheduled ,Male,Yes,Yes,Yes,No,Yes,Yes,Yes,Uncertain,No,Single
Standard Chartered Bank,Routine,Oracle Plsql,Walkin,Male,Yes,No,Yes,Yes,Yes,Yes,Yes,Uncertain,No,Single
Standard Chartered Bank,Routine,Java Tech Lead,Scheduled ,Male,Not yet,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
ANZ,Niche,Banking Operations,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Pfizer,Niche,Senior software engineer-Mednet,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Sr Automation Testing,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Senior Analyst,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Senior Analyst,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Pfizer,Routine,Regulatory,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Java/J2ee,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Niche,T-24 developer,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Prodapt,Routine,COTS Developer,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Prodapt,Routine,COTS Developer,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Prodapt,Routine,COTS Developer,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Hewitt,Routine,Dot Net,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Hewitt,Routine,testing,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Hewitt,Routine,testing,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Aon Hewitt,Routine,"JAVA,SQL",Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,SCCM,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,SCCM,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,SCCM,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,"SCCM-(Network, sharepoint,ms exchange)",Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,sccm,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,SCCM – Sharepoint,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,SCCM,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,SAS,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,SAS,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
ANZ,Niche,Banking Operations,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,AML/KYC/CDD,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,AML/KYC/CDD,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,AML/KYC/CDD,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,AML/KYC/CDD,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,AML/KYC/CDD,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,CDD KYC,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank Chennai,Routine,Core Java,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank Chennai,Routine,Core Java,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank Chennai,Routine,Core Java,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Accounting Operations,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Accounting Operations,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Accounting Operations,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Accounting Operations,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Accounting Operations,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,JAVA/SPRING/HIBERNATE/JSF,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,"Java,J2ee, JSF",Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,"Java,J2ee, JSF",Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,"Java ,J2ee",Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,10.00 AM,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,"Java,J2EE",Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,"Java, Spring, Hibernate",Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,"Java,spring,hibernate",Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,"Java, XML, Struts, hibernate",Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Java,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Java,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Java Developer,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Java Developer,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Java,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Hospira,Production- Sterile,Routine,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Hospira,Production- Sterile,Routine,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Aon Hewitt,Selenium testing,Routine,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
UST,Dot Net,Routine,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Trade Finance,Routine,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Oracle,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Oracle,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Oracle,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Oracle,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Oracle,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Accounting Operations,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Accounting Operations,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Accounting Operations,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Accounting Operations,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Accounting Operations,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Accounting Operations,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Accounting Operations,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Accounting Operations,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Accounting Operations,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Accounting Operations,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,AML/KYC/CDD,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Pfizer,Niche,Global Labelling,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Fresher,Walkin,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Fresher,Walkin,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Fresher,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Fresher,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Fresher,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Fresher,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Fresher,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Fresher,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Fresher,Walkin,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Fresher,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Fresher,Walkin,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Fresher,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Fresher,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Fresher,Walkin,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Fresher,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Fresher,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Fresher,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Fresher,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Fresher,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Fresher,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Fresher,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Fresher,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Oracle Plsql,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Lending and Liabilities,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Lending and Liabilities,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,Lending and Liabilities,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,CDD KYC,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,CDD KYC,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Hospira,Routine,Java J2EE,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Hospira,Routine,Java J2EE,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Hospira,Routine,Java J2EE,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,JAVA/SPRING/HIBERNATE/JSF,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,"Java,J2ee, JSF",Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
Standard Chartered Bank,Routine,SAS,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
UST,Dot Net,Routine,Scheduled ,Male,No,Yes,Yes,Yes,Yes,Yes,Not Sure,Uncertain,Yes,Single
Standard Chartered Bank,Routine,JAVA/SPRING/HIBERNATE/JSF,Walkin,Male,Yes,Yes,Yes,Yes,Yes,No,No,Uncertain,Yes,Single
Standard Chartered Bank,Routine,Automation Testing Java,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,No,Uncertain,Yes,Single
Hospira,Routine,Analytical R & D,Scheduled ,Male,Yes,Yes,Yes,Yes,No,Yes,Yes,Uncertain,Yes,Single
Standard Chartered Bank,Routine,TL,Scheduled ,Male,Yes,Yes,Yes,Yes,No,Yes,Yes,Uncertain,Yes,Single
Standard Chartered Bank,Routine,CDD KYC,Scheduled ,Male,Yes,Yes,Yes,Yes,Not Yet,Yes,Yes,Uncertain,Yes,Single
Standard Chartered Bank,Routine,SCCM,Scheduled ,Male,Not yet,Yes,Yes,No,Yes,Yes,Yes,Uncertain,Yes,Single
Hospira,Routine,Analytical R & D,Scheduled ,Female,Yes,Yes,Yes,No,Yes,Yes,Yes,Uncertain,Yes,Single
Standard Chartered Bank,Routine,CDD KYC,Scheduled ,Male,Yes,Yes,Yes,No,Yes,Yes,Yes,Uncertain,Yes,Single
Standard Chartered Bank,Routine,CDD KYC,Walkin,Male,Yes,Yes,Yes,No,Yes,Yes,Yes,Uncertain,Yes,Single
Standard Chartered Bank,Routine,Senior Analyst,Scheduled ,Male,Yes,Yes,No,Yes,Yes,Yes,Yes,Uncertain,Yes,Single
Standard Chartered Bank,Routine,Java J2ee,Scheduled ,Male,No,Yes,Yes,Yes,Yes,Yes,Yes,Uncertain,Yes,Single
Standard Chartered Bank,Routine,AML/KYC/CDD,Scheduled ,Male,Not yet,Yes,Yes,Yes,Yes,Yes,Yes,Uncertain,Yes,Single
Standard Chartered Bank,Routine,Accounting Operations,Scheduled ,Female,No,Yes,No,No,No,No,Yes,Uncertain,Yes,Single
ANZ,Niche,Banking Operations,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
ANZ,Niche,Banking Operations,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
ANZ,Niche,Banking Operations,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
ANZ,Niche,Banking Operations,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
ANZ,Niche,Banking Operations,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
ANZ,Niche,Banking Operations,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
ANZ,Niche,Banking Operations,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
ANZ,Niche,Banking Operations,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
ANZ,Niche,Banking Operations,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
ANZ,Niche,Banking Operations,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
ANZ,Niche,Banking Operations,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
ANZ,Niche,Banking Operations,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
ANZ,Niche,Banking Operations,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
ANZ,Niche,Banking Operations,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
ANZ,Niche,Banking Operations,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
ANZ,Niche,Banking Operations,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
Hospira,Niche,RA Publishing,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
Hospira,Routine,Regulatory,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
Hospira,Routine,Regulatory,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
Hospira,Routine,Analytical R & D,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
Hospira,Routine,Analytical R & D,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
Hospira,Routine,Analytical R&D,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
Hospira,Routine,Analytical R & D,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
Pfizer,Niche,Tech lead-Mednet,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
Pfizer,Niche,Tech lead-Mednet,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
